sample_name,fastq_path,library
EwS_T84,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222632.fastq.gz,CALCULATE
EwS_T85,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222633.fastq.gz,CALCULATE
EwS_T86,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222634.fastq.gz,CALCULATE
EwS_T87,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222635.fastq.gz,CALCULATE
EwS_T88,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222636.fastq.gz,CALCULATE
EwS_T89,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222637.fastq.gz,CALCULATE
EwS_T90,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222638.fastq.gz,CALCULATE
EwS_T91,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222639.fastq.gz,CALCULATE
EwS_T92,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222640.fastq.gz,CALCULATE
EwS_T93,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222641.fastq.gz,CALCULATE
EwS_T94,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222642.fastq.gz,CALCULATE
EwS_T95,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222643.fastq.gz,CALCULATE
EwS_T96,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222644.fastq.gz,CALCULATE
EwS_T97,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222645.fastq.gz,CALCULATE
EwS_T98,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222646.fastq.gz,CALCULATE
EwS_T99,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222647.fastq.gz,CALCULATE
EwS_T100,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222648.fastq.gz,CALCULATE
EwS_T101,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222649.fastq.gz,CALCULATE
EwS_T102,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222650.fastq.gz,CALCULATE
EwS_T103,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222651.fastq.gz,CALCULATE
EwS_T104,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222652.fastq.gz,CALCULATE
EwS_T105,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222653.fastq.gz,CALCULATE
EwS_T106,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222654.fastq.gz,CALCULATE
EwS_T107,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222655.fastq.gz,CALCULATE
EwS_T108,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222656.fastq.gz,CALCULATE
EwS_T109,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222657.fastq.gz,CALCULATE
EwS_T110,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222658.fastq.gz,CALCULATE
EwS_T111,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222659.fastq.gz,CALCULATE
